            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2453976.500000000, A.D. 2006-Aug-29 00:00:00.0000,      65.182673, -4.876574994982540E+08, -6.433834961091753E+08,  1.358337985911524E+07,  1.025957099932497E+01, -7.282753736850540E+00, -1.992729630363281E-01,
2453979.500000000, A.D. 2006-Sep-01 00:00:00.0000,      65.182624, -4.849944165142416E+08, -6.452661067797923E+08,  1.353159582243317E+07,  1.029146289667586E+01, -7.243639186484369E+00, -2.002685305499541E-01,
2453982.500000000, A.D. 2006-Sep-04 00:00:00.0000,      65.182578, -4.823227287637434E+08, -6.471378603726459E+08,  1.347958318270212E+07,  1.032305199557855E+01, -7.200029535321134E+00, -2.011082543110567E-01,
2453985.500000000, A.D. 2006-Sep-07 00:00:00.0000,      65.182537, -4.796429356723308E+08, -6.489982651957570E+08,  1.342735396222940E+07,  1.035281737823950E+01, -7.155961411473525E+00, -2.019509148254759E-01,
2453988.500000000, A.D. 2006-Sep-10 00:00:00.0000,      65.182499, -4.769552136178100E+08, -6.508479540359589E+08,  1.337488241749877E+07,  1.038617060225648E+01, -7.114758942168293E+00, -2.028526388615264E-01,
2453991.500000000, A.D. 2006-Sep-13 00:00:00.0000,      65.182465, -4.742592775075908E+08, -6.526863987574499E+08,  1.332219264036062E+07,  1.041537312727528E+01, -7.071682923423953E+00, -2.037399850294506E-01,
2453994.500000000, A.D. 2006-Sep-16 00:00:00.0000,      65.182435, -4.715554945367286E+08, -6.545140126750476E+08,  1.326926517228833E+07,  1.044710053079382E+01, -7.029575676513550E+00, -2.046326051573213E-01,
2453997.500000000, A.D. 2006-Sep-19 00:00:00.0000,      65.182409, -4.688433094582434E+08, -6.563305732151141E+08,  1.321611434693718E+07,  1.048034517113568E+01, -6.985368160050026E+00, -2.054222943301451E-01,
2454000.500000000, A.D. 2006-Sep-22 00:00:00.0000,      65.182387, -4.661233676491054E+08, -6.581356209321167E+08,  1.316274869417867E+07,  1.050881613822182E+01, -6.944192889677256E+00, -2.063882961833281E-01,
2454003.500000000, A.D. 2006-Sep-25 00:00:00.0000,      65.182370, -4.633953718847631E+08, -6.599296539727900E+08,  1.310915334939936E+07,  1.053929986931915E+01, -6.899407512265585E+00, -2.071971940966137E-01,
2454006.500000000, A.D. 2006-Sep-28 00:00:00.0000,      65.182357, -4.606595876168157E+08, -6.617122314217315E+08,  1.305534217879015E+07,  1.056882335357146E+01, -6.855066662448403E+00, -2.080266258401990E-01,
2454009.500000000, A.D. 2006-Oct-01 00:00:00.0000,      65.182348, -4.579162068759069E+08, -6.634839118851504E+08,  1.300129244453567E+07,  1.060046872287907E+01, -6.814289021019682E+00, -2.089647652016757E-01,
2454012.500000000, A.D. 2006-Oct-04 00:00:00.0000,      65.182344, -4.551646253216355E+08, -6.652442029121282E+08,  1.294703025391269E+07,  1.062965535164692E+01, -6.768663951180913E+00, -2.097590308930433E-01,
2454015.500000000, A.D. 2006-Oct-07 00:00:00.0000,      65.182344, -4.524054889725506E+08, -6.669931444895953E+08,  1.289254563817364E+07,  1.066030403761648E+01, -6.725246087799285E+00, -2.106141074458416E-01,
2454018.500000000, A.D. 2006-Oct-10 00:00:00.0000,      65.182348, -4.496384284391081E+08, -6.687307385628382E+08,  1.283784226015776E+07,  1.069147365606279E+01, -6.681165928808245E+00, -2.114333221013744E-01,
2454021.500000000, A.D. 2006-Oct-13 00:00:00.0000,      65.182357, -4.468639401269919E+08, -6.704565530140831E+08,  1.278293069122893E+07,  1.071729078050097E+01, -6.638025001060028E+00, -2.123566980124556E-01,
2454024.500000000, A.D. 2006-Oct-16 00:00:00.0000,      65.182370, -4.440818596527849E+08, -6.721713605961815E+08,  1.272778497296083E+07,  1.074796304094440E+01, -6.593152222932744E+00, -2.131526205912153E-01,
2454027.500000000, A.D. 2006-Oct-19 00:00:00.0000,      65.182388, -4.412920670930496E+08, -6.738745794608343E+08,  1.267242869436350E+07,  1.077748922610659E+01, -6.548331205154643E+00, -2.139602793868209E-01,
2454030.500000000, A.D. 2006-Oct-22 00:00:00.0000,      65.182410, -4.384948977756312E+08, -6.755664509109213E+08,  1.261684853175393E+07,  1.080681540527150E+01, -6.506042644875308E+00, -2.148739348251434E-01,
2454033.500000000, A.D. 2006-Oct-25 00:00:00.0000,      65.182436, -4.356898188463329E+08, -6.772466702029924E+08,  1.256106211148593E+07,  1.083565723169978E+01, -6.458305271466894E+00, -2.155919398931423E-01,
2454036.500000000, A.D. 2006-Oct-28 00:00:00.0000,      65.182467, -4.328776742464216E+08, -6.789151161629012E+08,  1.250506341987237E+07,  1.086416627198315E+01, -6.414833056822584E+00, -2.164633982822424E-01,
2454039.500000000, A.D. 2006-Oct-31 00:00:00.0000,      65.182501, -4.300580945484166E+08, -6.805721643381143E+08,  1.244884334371546E+07,  1.089318908465064E+01, -6.371174534865260E+00, -2.173193039341328E-01,
2454042.500000000, A.D. 2006-Nov-03 00:00:00.0000,      65.182540, -4.272311832522546E+08, -6.822173554322486E+08,  1.239241890861565E+07,  1.091850607945752E+01, -6.325673507161303E+00, -2.181548128639843E-01,
2454045.500000000, A.D. 2006-Nov-06 00:00:00.0000,      65.182583, -4.243969837892022E+08, -6.838513208551157E+08,  1.233576618110660E+07,  1.094938378721547E+01, -6.280586079270894E+00, -2.189345481829830E-01,
2454048.500000000, A.D. 2006-Nov-09 00:00:00.0000,      65.182629, -4.215552139223602E+08, -6.854733466000180E+08,  1.227891476828218E+07,  1.097755394888713E+01, -6.234498419644978E+00, -2.197123612537819E-01,
2454051.500000000, A.D. 2006-Nov-12 00:00:00.0000,      65.182680, -4.187065015242847E+08, -6.870835346439059E+08,  1.222185306569514E+07,  1.100396539360113E+01, -6.190327467541039E+00, -2.205904657697548E-01,
2454054.500000000, A.D. 2006-Nov-15 00:00:00.0000,      65.182734, -4.158504066975146E+08, -6.886820273621092E+08,  1.216458154554942E+07,  1.103261490999341E+01, -6.142537615793201E+00, -2.212976719414312E-01,
2454057.500000000, A.D. 2006-Nov-18 00:00:00.0000,      65.182791, -4.129875504853628E+08, -6.902685482777669E+08,  1.210710351813611E+07,  1.105920161345337E+01, -6.099308421015501E+00, -2.221909390688617E-01,
2454060.500000000, A.D. 2006-Nov-21 00:00:00.0000,      65.182852, -4.101175135260879E+08, -6.918436018188072E+08,  1.204940587300822E+07,  1.108690567489847E+01, -6.054738131384356E+00, -2.230250881580251E-01,
2454063.500000000, A.D. 2006-Nov-24 00:00:00.0000,      65.182916, -4.072401773106638E+08, -6.934065572707155E+08,  1.199151390606987E+07,  1.111258476577643E+01, -6.006396996052460E+00, -2.237458888479051E-01,
2454066.500000000, A.D. 2006-Nov-27 00:00:00.0000,      65.182983, -4.043560233786733E+08, -6.949577989969510E+08,  1.193340676119173E+07,  1.114175764073630E+01, -5.961270288966150E+00, -2.245411509157682E-01,
2454069.500000000, A.D. 2006-Nov-30 00:00:00.0000,      65.183053, -4.014647035225556E+08, -6.964968765012774E+08,  1.187510557284400E+07,  1.116767470114924E+01, -5.914296940371233E+00, -2.253101935443067E-01,
2454072.500000000, A.D. 2006-Dec-03 00:00:00.0000,      65.183125, -3.985668764382514E+08, -6.980239046642889E+08,  1.181659903345597E+07,  1.119237224982542E+01, -5.868953658645173E+00, -2.261542362991800E-01,
2454075.500000000, A.D. 2006-Dec-06 00:00:00.0000,      65.183200, -3.956620502219782E+08, -6.995392935850902E+08,  1.175787859309328E+07,  1.122131651822503E+01, -5.822060792305727E+00, -2.268762965452629E-01,
2454078.500000000, A.D. 2006-Dec-09 00:00:00.0000,      65.183277, -3.927504913192437E+08, -7.010424221865582E+08,  1.169896445102879E+07,  1.124607482360417E+01, -5.777429974859046E+00, -2.277333212254700E-01,
2454081.500000000, A.D. 2006-Dec-12 00:00:00.0000,      65.183356, -3.898320563773152E+08, -7.025337492678158E+08,  1.163984114873672E+07,  1.127232937260831E+01, -5.730694372265295E+00, -2.285019044187977E-01,
2454084.500000000, A.D. 2006-Dec-15 00:00:00.0000,      65.183437, -3.869066588199568E+08, -7.040126918929541E+08,  1.158053145805019E+07,  1.129772931432723E+01, -5.680831867122022E+00, -2.291607372966609E-01,
